County,Public Level 1,Shared Private Level 1,Public Level 2,Shared Private Level 2,Public DC Fast,Shared Private DC Fast,Total
Alameda,6,70,1671,1583,332,35,3697
Alpine,0,0,14,0,0,0,14
Amador,0,0,25,6,8,0,39
Butte,6,0,41,23,24,0,94
Calaveras,0,2,7,0,12,0,21
Colusa,0,0,18,2,18,0,38
Contra Costa,3,2,600,599,245,2,1451
Del Norte,0,0,12,0,17,0,29
El Dorado,1,0,124,5,49,0,179
Fresno,8,1,574,329,208,13,1133
Glenn,0,0,4,0,10,0,14
Humboldt,0,0,116,12,21,1,150
Imperial,0,0,8,11,12,0,31
Inyo,0,0,6,6,29,1,42
Kern,4,1,155,53,199,4,416
Kings,0,0,43,60,101,0,204
Lake,0,0,14,0,0,0,14
Lassen,0,1,4,0,8,0,13
Los Angeles,31,147,7380,12252,1042,98,20950
Madera,0,1,53,17,57,2,130
Marin,1,0,463,187,87,1,739
Mariposa,0,0,14,0,10,0,24
Mendocino,0,0,112,11,37,0,160
Merced,10,2,51,21,39,2,125
Modoc,0,0,4,0,8,0,12
Mono,0,0,20,0,12,0,32
Monterey,4,0,242,78,127,1,452
Napa,0,0,316,33,43,1,393
Nevada,0,1,65,5,45,0,116
Orange,4,0,2714,2581,533,20,5852
Placer,0,1,196,106,115,1,419
Plumas,0,0,7,0,0,0,7
Riverside,3,1,981,186,367,10,1548
Sacramento,69,18,825,639,256,6,1813
San Benito,0,0,12,10,25,0,47
San Bernardino,3,11,604,373,344,32,1367
San Diego,2,17,1984,7649,379,49,10080
San Francisco,36,6,688,772,104,24,1630
San Joaquin,0,0,158,191,83,10,442
San Luis Obispo,0,1,338,98,128,1,566
San Mateo,2,36,2112,2054,281,26,4511
Santa Barbara,4,2,328,157,64,2,557
Santa Clara,3,75,3849,11440,565,55,15987
Santa Cruz,1,0,166,78,62,0,307
Shasta,0,0,38,38,7,3,86
Sierra,0,0,1,0,0,0,1
Siskiyou,0,1,24,4,43,0,72
Solano,5,0,250,126,85,5,471
Sonoma,4,0,434,228,113,15,794
Stanislaus,1,1,57,35,44,13,151
Sutter,0,0,5,6,16,0,27
Tehama,0,0,11,4,20,0,35
Trinity,0,0,4,0,2,0,6
Tulare,0,3,42,11,45,22,123
Tuolumne,0,0,34,6,38,0,78
Unknown,0,0,0,14,0,0,14
Ventura,5,0,423,332,126,8,894
Yolo,12,0,205,127,50,0,394
Yuba,0,0,25,7,0,0,32
Total,228,401,28671,42565,6695,463,79023
