Data Year,County,Fuel Type,Make,Model,Number of Vehicles
2010,Alameda,Diesel,,,10939
2010,Alameda,Electric,Ford,Ranger,3
2010,Alameda,Electric,Tesla,Roadster,17
2010,Alameda,Flex Fuel,,,10974
2010,Alameda,Gasoline,,,840577
2010,Alameda,Gasoline Hybrid,,,22720
2010,Alameda,Natural Gas,,,173
2010,Alameda,Propane,,,19
2010,Alpine,Diesel,,,73
2010,Alpine,Flex Fuel,,,16
2010,Alpine,Gasoline,,,943
2010,Alpine,Gasoline Hybrid,,,9
2010,Amador,Diesel,,,2065
2010,Amador,Electric,Ford,Ranger,1
2010,Amador,Flex Fuel,,,489
2010,Amador,Gasoline,,,27584
2010,Amador,Gasoline Hybrid,,,322
2010,Amador,Natural Gas,,,4
2010,Amador,Propane,,,16
2010,Butte,Diesel,,,6887
2010,Butte,Flex Fuel,,,2441
2010,Butte,Gasoline,,,122257
2010,Butte,Gasoline Hybrid,,,1570
2010,Butte,Natural Gas,,,8
2010,Butte,Propane,,,6
2010,Calaveras,Diesel,,,2982
2010,Calaveras,Flex Fuel,,,693
2010,Calaveras,Gasoline,,,35499
2010,Calaveras,Gasoline Hybrid,,,458
2010,Calaveras,Natural Gas,,,1
2010,Calaveras,Propane,,,3
2010,Colusa,Diesel,,,1195
2010,Colusa,Flex Fuel,,,468
2010,Colusa,Gasoline,,,12875
2010,Colusa,Gasoline Hybrid,,,68
2010,Colusa,Propane,,,4
2010,Contra Costa,Diesel,,,10897
2010,Contra Costa,Electric,Tesla,Roadster,10
2010,Contra Costa,Flex Fuel,,,9703
2010,Contra Costa,Gasoline,,,630056
2010,Contra Costa,Gasoline Hybrid,,,15506
2010,Contra Costa,Natural Gas,,,117
2010,Contra Costa,Propane,,,15
2010,Del Norte,Diesel,,,1142
2010,Del Norte,Flex Fuel,,,340
2010,Del Norte,Gasoline,,,14452
2010,Del Norte,Gasoline Hybrid,,,148
2010,Del Norte,Natural Gas,,,1
2010,El Dorado,Diesel,,,7074
2010,El Dorado,Flex Fuel,,,1993
2010,El Dorado,Gasoline,,,118846
2010,El Dorado,Gasoline Hybrid,,,2056
2010,El Dorado,Natural Gas,,,6
2010,El Dorado,Propane,,,5
2010,Fresno,Diesel,,,10833
2010,Fresno,Electric,Tesla,Roadster,2
2010,Fresno,Flex Fuel,,,10732
2010,Fresno,Gasoline,,,455655
2010,Fresno,Gasoline Hybrid,,,3891
2010,Fresno,Natural Gas,,,18
2010,Fresno,Propane,,,16
2010,Glenn,Diesel,,,1546
2010,Glenn,Flex Fuel,,,467
2010,Glenn,Gasoline,,,16625
2010,Glenn,Gasoline Hybrid,,,81
2010,Glenn,Propane,,,1
2010,Humboldt,Diesel,,,6840
2010,Humboldt,Electric,Ford,Ranger,1
2010,Humboldt,Electric,Tesla,Roadster,1
2010,Humboldt,Flex Fuel,,,1402
2010,Humboldt,Gasoline,,,81537
2010,Humboldt,Gasoline Hybrid,,,1164
2010,Humboldt,Natural Gas,,,3
2010,Humboldt,Propane,,,3
2010,Imperial,Diesel,,,2715
2010,Imperial,Flex Fuel,,,2986
2010,Imperial,Gasoline,,,99688
2010,Imperial,Gasoline Hybrid,,,404
2010,Imperial,Natural Gas,,,13
2010,Imperial,Propane,,,1
2010,Inyo,Diesel,,,1079
2010,Inyo,Flex Fuel,,,254
2010,Inyo,Gasoline,,,13534
2010,Inyo,Gasoline Hybrid,,,126
2010,Inyo,Natural Gas,,,1
2010,Inyo,Propane,,,2
2010,Kern,Diesel,,,16092
2010,Kern,Electric,Tesla,Roadster,1
2010,Kern,Flex Fuel,,,11303
2010,Kern,Gasoline,,,403815
2010,Kern,Gasoline Hybrid,,,3156
2010,Kern,Natural Gas,,,26
2010,Kern,Propane,,,13
2010,Kings,Diesel,,,2340
2010,Kings,Flex Fuel,,,2042
2010,Kings,Gasoline,,,64157
2010,Kings,Gasoline Hybrid,,,469
2010,Kings,Natural Gas,,,3
2010,Kings,Propane,,,6
2010,Lake,Diesel,,,2573
2010,Lake,Electric,Ford,Ranger,1
2010,Lake,Flex Fuel,,,835
2010,Lake,Gasoline,,,44205
2010,Lake,Gasoline Hybrid,,,515
2010,Lake,Natural Gas,,,1
2010,Lake,Propane,,,1
2010,Lassen,Diesel,,,2060
2010,Lassen,Flex Fuel,,,374
2010,Lassen,Gasoline,,,16574
2010,Lassen,Gasoline Hybrid,,,93
2010,Los Angeles,Diesel,,,49017
2010,Los Angeles,Electric,Ford,Ranger,5
2010,Los Angeles,Electric,MINI,Mini E,79
2010,Los Angeles,Electric,Tesla,Roadster,123
2010,Los Angeles,Flex Fuel,,,92770
2010,Los Angeles,Gasoline,,,5286329
2010,Los Angeles,Gasoline Hybrid,,,103203
2010,Los Angeles,Hydrogen ,Honda,FCX Clarity,12
2010,Los Angeles,Natural Gas,,,1664
2010,Los Angeles,PHEV,Toyota,Prius,153
2010,Los Angeles,Propane,,,99
2010,Madera,Diesel,,,3317
2010,Madera,Flex Fuel,,,1843
2010,Madera,Gasoline,,,72963
2010,Madera,Gasoline Hybrid,,,546
2010,Madera,Natural Gas,,,2
2010,Madera,Propane,,,8
2010,Marin,Diesel,,,3102
2010,Marin,Electric,Tesla,Roadster,15
2010,Marin,Flex Fuel,,,1661
2010,Marin,Gasoline,,,161046
2010,Marin,Gasoline Hybrid,,,8447
2010,Marin,Natural Gas,,,50
2010,Marin,Propane,,,3
2010,Mariposa,Diesel,,,1058
2010,Mariposa,Flex Fuel,,,247
2010,Mariposa,Gasoline,,,14142
2010,Mariposa,Gasoline Hybrid,,,151
2010,Mariposa,Natural Gas,,,1
2010,Mariposa,Propane,,,2
2010,Mendocino,Diesel,,,4760
2010,Mendocino,Flex Fuel,,,962
2010,Mendocino,Gasoline,,,59583
2010,Mendocino,Gasoline Hybrid,,,1108
2010,Mendocino,Natural Gas,,,4
2010,Mendocino,Propane,,,3
2010,Merced,Diesel,,,4459
2010,Merced,Flex Fuel,,,2992
2010,Merced,Gasoline,,,124676
2010,Merced,Gasoline Hybrid,,,826
2010,Merced,Natural Gas,,,2
2010,Merced,Propane,,,7
2010,Modoc,Diesel,,,856
2010,Modoc,Flex Fuel,,,128
2010,Modoc,Gasoline,,,5556
2010,Modoc,Gasoline Hybrid,,,25
2010,Modoc,Propane,,,1
2010,Mono,Diesel,,,585
2010,Mono,Flex Fuel,,,160
2010,Mono,Gasoline,,,8665
2010,Mono,Gasoline Hybrid,,,90
2010,Monterey,Diesel,,,5868
2010,Monterey,Electric,Tesla,Roadster,1
2010,Monterey,Flex Fuel,,,4696
2010,Monterey,Gasoline,,,227776
2010,Monterey,Gasoline Hybrid,,,3478
2010,Monterey,Natural Gas,,,15
2010,Monterey,Propane,,,13
2010,Napa,Diesel,,,3075
2010,Napa,Electric,Ford,Ranger,1
2010,Napa,Electric,Tesla,Roadster,3
2010,Napa,Flex Fuel,,,1504
2010,Napa,Gasoline,,,83801
2010,Napa,Gasoline Hybrid,,,2092
2010,Napa,Natural Gas,,,7
2010,Napa,Propane,,,2
2010,Nevada,Diesel,,,4560
2010,Nevada,Flex Fuel,,,931
2010,Nevada,Gasoline,,,67350
2010,Nevada,Gasoline Hybrid,,,1182
2010,Nevada,Natural Gas,,,3
2010,Nevada,Propane,,,6
2010,Orange,Diesel,,,22603
2010,Orange,Electric,Ford,Ranger,1
2010,Orange,Electric,MINI,Mini E,8
2010,Orange,Electric,Tesla,Roadster,29
2010,Orange,Flex Fuel,,,31371
2010,Orange,Gasoline,,,1780051
2010,Orange,Gasoline Hybrid,,,31421
2010,Orange,Hydrogen ,Honda,FCX Clarity,2
2010,Orange,Natural Gas,,,804
2010,Orange,Propane,,,35
2010,Out Of State,Diesel,,,4060
2010,Out Of State,Electric,Ford,Ranger,2
2010,Out Of State,Electric,MINI,Mini E,6
2010,Out Of State,Electric,Tesla,Roadster,3
2010,Out Of State,Flex Fuel,,,47809
2010,Out Of State,Gasoline,,,341895
2010,Out Of State,Gasoline Hybrid,,,6387
2010,Out Of State,Natural Gas,,,16
2010,Out Of State,Propane,,,6
2010,Placer,Diesel,,,9278
2010,Placer,Electric,Ford,Ranger,2
2010,Placer,Electric,Tesla,Roadster,3
2010,Placer,Flex Fuel,,,4558
2010,Placer,Gasoline,,,223181
2010,Placer,Gasoline Hybrid,,,4036
2010,Placer,Natural Gas,,,11
2010,Placer,Propane,,,14
2010,Plumas,Diesel,,,1414
2010,Plumas,Flex Fuel,,,251
2010,Plumas,Gasoline,,,15658
2010,Plumas,Gasoline Hybrid,,,77
2010,Riverside,Diesel,,,28541
2010,Riverside,Electric,MINI,Mini E,1
2010,Riverside,Electric,Tesla,Roadster,3
2010,Riverside,Flex Fuel,,,24961
2010,Riverside,Gasoline,,,1137102
2010,Riverside,Gasoline Hybrid,,,12516
2010,Riverside,Natural Gas,,,248
2010,Riverside,Propane,,,27
2010,Sacramento,Diesel,,,16290
2010,Sacramento,Electric,Ford,Ranger,2
2010,Sacramento,Electric,Tesla,Roadster,4
2010,Sacramento,Flex Fuel,,,12974
2010,Sacramento,Gasoline,,,767773
2010,Sacramento,Gasoline Hybrid,,,10759
2010,Sacramento,Natural Gas,,,70
2010,Sacramento,Propane,,,48
2010,San Benito,Diesel,,,1646
2010,San Benito,Electric,Tesla,Roadster,1
2010,San Benito,Flex Fuel,,,820
2010,San Benito,Gasoline,,,32388
2010,San Benito,Gasoline Hybrid,,,427
2010,San Benito,Natural Gas,,,1
2010,San Benito,Propane,,,2
2010,San Bernardino,Diesel,,,24737
2010,San Bernardino,Electric,Ford,Ranger,3
2010,San Bernardino,Electric,Tesla,Roadster,1
2010,San Bernardino,Flex Fuel,,,23688
2010,San Bernardino,Gasoline,,,1066079
2010,San Bernardino,Gasoline Hybrid,,,9228
2010,San Bernardino,Natural Gas,,,174
2010,San Bernardino,Propane,,,36
