,Data Year,County,Fuel Type,Make,Model,Number of Vehicles,Public Level 1,Shared Private Level 1,Public Level 2,Shared Private Level 2,Public DC Fast,Shared Private DC Fast,Total
0,2021,Alameda,Electric,Audi,e-tron,281,6,70,1671,1583,332,35,3697
1,2021,Alameda,Electric,Audi,E-Tron Gt,6,6,70,1671,1583,332,35,3697
2,2021,Alameda,Electric,Audi,E-Tron Sportback,5,6,70,1671,1583,332,35,3697
3,2021,Alameda,Electric,Audi,Rs E-Tron Gt,4,6,70,1671,1583,332,35,3697
4,2021,Alameda,Electric,Azure Dynamics,Transit Connect,3,6,70,1671,1583,332,35,3697
5,2021,Alameda,Electric,BMW,i3,322,6,70,1671,1583,332,35,3697
6,2021,Alameda,Electric,Chevrolet,Bolt Euv,93,6,70,1671,1583,332,35,3697
7,2021,Alameda,Electric,Chevrolet,Bolt EV,3459,6,70,1671,1583,332,35,3697
8,2021,Alameda,Electric,Chevrolet,Spark EV,118,6,70,1671,1583,332,35,3697
9,2021,Alameda,Electric,Coda,Coda,2,6,70,1671,1583,332,35,3697
10,2021,Alameda,Electric,FIAT,500e,521,6,70,1671,1583,332,35,3697
11,2021,Alameda,Electric,Ford,Focus,122,6,70,1671,1583,332,35,3697
12,2021,Alameda,Electric,Ford,Mustang Mach-E,267,6,70,1671,1583,332,35,3697
13,2021,Alameda,Electric,Ford,Transit Connect Electric,3,6,70,1671,1583,332,35,3697
14,2021,Alameda,Electric,Honda,Clarity Electric,76,6,70,1671,1583,332,35,3697
15,2021,Alameda,Electric,Hyundai,Ioniq Electric,90,6,70,1671,1583,332,35,3697
16,2021,Alameda,Electric,Hyundai,Kona EV,349,6,70,1671,1583,332,35,3697
17,2021,Alameda,Electric,Jaguar,I-PACE,60,6,70,1671,1583,332,35,3697
18,2021,Alameda,Electric,Kia,Niro EV,418,6,70,1671,1583,332,35,3697
19,2021,Alameda,Electric,Kia,Soul EV,110,6,70,1671,1583,332,35,3697
20,2021,Alameda,Electric,Lucid,Air,2,6,70,1671,1583,332,35,3697
21,2021,Alameda,Electric,Mazda,Mx-30 Ev,4,6,70,1671,1583,332,35,3697
22,2021,Alameda,Electric,Mercedes-Benz,B-Class,59,6,70,1671,1583,332,35,3697
23,2021,Alameda,Electric,Mercedes-Benz,EQS,3,6,70,1671,1583,332,35,3697
24,2021,Alameda,Electric,MINI,Hardtop 2 Door,66,6,70,1671,1583,332,35,3697
25,2021,Alameda,Electric,Mitsubishi,i-MiEV,22,6,70,1671,1583,332,35,3697
26,2021,Alameda,Electric,Nissan,LEAF,3322,6,70,1671,1583,332,35,3697
27,2021,Alameda,Electric,Polestar,2,85,6,70,1671,1583,332,35,3697
28,2021,Alameda,Electric,Porsche,Taycan,132,6,70,1671,1583,332,35,3697
29,2021,Alameda,Electric,Rivian,R1T,17,6,70,1671,1583,332,35,3697
30,2021,Alameda,Electric,Smart,Fortwo Electric Drive,106,6,70,1671,1583,332,35,3697
31,2021,Alameda,Electric,Tesla,Model 3,14365,6,70,1671,1583,332,35,3697
32,2021,Alameda,Electric,Tesla,Model S,4277,6,70,1671,1583,332,35,3697
33,2021,Alameda,Electric,Tesla,Model X,2406,6,70,1671,1583,332,35,3697
34,2021,Alameda,Electric,Tesla,Model Y,5287,6,70,1671,1583,332,35,3697
35,2021,Alameda,Electric,Tesla,Roadster,23,6,70,1671,1583,332,35,3697
36,2021,Alameda,Electric,Think Global,Think City,4,6,70,1671,1583,332,35,3697
37,2021,Alameda,Electric,Toyota,RAV4 EV,100,6,70,1671,1583,332,35,3697
38,2021,Alameda,Electric,Volkswagen,e-Golf,884,6,70,1671,1583,332,35,3697
39,2021,Alameda,Electric,Volkswagen,Id.4,395,6,70,1671,1583,332,35,3697
40,2021,Alameda,Electric,Volvo,Xc40,95,6,70,1671,1583,332,35,3697
41,2021,Alameda,Hydrogen,Honda,Clarity Fuel Cell,100,6,70,1671,1583,332,35,3697
42,2021,Alameda,Hydrogen,Hyundai,Nexo,43,6,70,1671,1583,332,35,3697
43,2021,Alameda,Hydrogen,Toyota,Mirai,485,6,70,1671,1583,332,35,3697
44,2021,Alameda,PHEV,Audi,A3 Sportback e-tron,377,6,70,1671,1583,332,35,3697
45,2021,Alameda,PHEV,Audi,A7,7,6,70,1671,1583,332,35,3697
46,2021,Alameda,PHEV,Audi,Q5,226,6,70,1671,1583,332,35,3697
47,2021,Alameda,PHEV,BMW,3 Series,282,6,70,1671,1583,332,35,3697
48,2021,Alameda,PHEV,BMW,5 Series,520,6,70,1671,1583,332,35,3697
49,2021,Alameda,PHEV,BMW,7 Series,10,6,70,1671,1583,332,35,3697
50,2021,Alameda,PHEV,BMW,i3,677,6,70,1671,1583,332,35,3697
51,2021,Alameda,PHEV,BMW,i8,56,6,70,1671,1583,332,35,3697
52,2021,Alameda,PHEV,BMW,X3,144,6,70,1671,1583,332,35,3697
53,2021,Alameda,PHEV,BMW,X5,336,6,70,1671,1583,332,35,3697
54,2021,Alameda,PHEV,Cadillac,CT6 PLUG-IN Hybrid,1,6,70,1671,1583,332,35,3697
55,2021,Alameda,PHEV,Cadillac,ELR,32,6,70,1671,1583,332,35,3697
56,2021,Alameda,PHEV,Chevrolet,Volt,2836,6,70,1671,1583,332,35,3697
57,2021,Alameda,PHEV,Chrysler,Pacifica Hybrid,770,6,70,1671,1583,332,35,3697
58,2021,Alameda,PHEV,Ferrari,SF90 Stradale,1,6,70,1671,1583,332,35,3697
59,2021,Alameda,PHEV,Fisker,Karma,7,6,70,1671,1583,332,35,3697
60,2021,Alameda,PHEV,Ford,C-MAX Energi,675,6,70,1671,1583,332,35,3697
61,2021,Alameda,PHEV,Ford,Escape Plug-In Hybrid,42,6,70,1671,1583,332,35,3697
62,2021,Alameda,PHEV,Ford,Fusion Energi,1074,6,70,1671,1583,332,35,3697
63,2021,Alameda,PHEV,Honda,Accord Plug-In,50,6,70,1671,1583,332,35,3697
64,2021,Alameda,PHEV,Honda,Clarity Plug-In Hybrid,1626,6,70,1671,1583,332,35,3697
65,2021,Alameda,PHEV,Hyundai,Ioniq Plug-in Hybrid,231,6,70,1671,1583,332,35,3697
66,2021,Alameda,PHEV,Hyundai,Santa Fe Plug-In Hybrid,27,6,70,1671,1583,332,35,3697
67,2021,Alameda,PHEV,Hyundai,Sonata Plug-in Hybrid,94,6,70,1671,1583,332,35,3697
68,2021,Alameda,PHEV,Hyundai,Tucson Plug-In Hybrid,16,6,70,1671,1583,332,35,3697
69,2021,Alameda,PHEV,Jeep,Wrangler Unlimited,157,6,70,1671,1583,332,35,3697
70,2021,Alameda,PHEV,Kia,Niro Plug-In Hybrid,507,6,70,1671,1583,332,35,3697
71,2021,Alameda,PHEV,Kia,Optima Plug-In Hybrid,56,6,70,1671,1583,332,35,3697
72,2021,Alameda,PHEV,Kia,Sorento Plug-In Hybrid,23,6,70,1671,1583,332,35,3697
73,2021,Alameda,PHEV,Land Rover,Range Rover,9,6,70,1671,1583,332,35,3697
74,2021,Alameda,PHEV,Land Rover,Range Rover Sport,16,6,70,1671,1583,332,35,3697
75,2021,Alameda,PHEV,Lincoln,Aviator,13,6,70,1671,1583,332,35,3697
76,2021,Alameda,PHEV,Lincoln,Corsair,3,6,70,1671,1583,332,35,3697
77,2021,Alameda,PHEV,Mercedes-Benz,C-Class,48,6,70,1671,1583,332,35,3697
